Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
3/1/2021,3901.82,3/8/2021,25.7,3/8/2021,25.47,3/8/2021,28.13,3/8/2021,29.52,3/8/2021,27.95
3/2/2021,3870.29,3/9/2021,24.11,3/9/2021,24.03,3/9/2021,27.28,3/9/2021,29.03,3/9/2021,27.74
3/3/2021,3819.72,3/10/2021,20.98,3/10/2021,22.56,3/10/2021,26.68,3/10/2021,28.73,3/10/2021,27.56
3/4/2021,3768.47,3/11/2021,20.01,3/11/2021,21.91,3/11/2021,26.09,3/11/2021,28.2,3/11/2021,27.23
3/5/2021,3841.94,3/12/2021,17.41,3/12/2021,20.69,3/12/2021,25.74,3/12/2021,28.11,3/12/2021,27.17
3/8/2021,3821.35,3/15/2021,17.74,3/15/2021,20.03,3/15/2021,24.89,3/15/2021,27.43,3/15/2021,26.91
3/9/2021,3875.44,3/16/2021,17.93,3/16/2021,19.79,3/16/2021,24.71,3/16/2021,27.25,3/16/2021,26.83
3/10/2021,3898.81,3/17/2021,16.69,3/17/2021,19.23,3/17/2021,23.88,3/17/2021,26.61,3/17/2021,26.42
3/11/2021,3939.34,3/18/2021,20.33,3/18/2021,21.58,3/18/2021,25.28,3/18/2021,27.65,3/18/2021,26.99
3/12/2021,3943.34,3/19/2021,18.28,3/19/2021,20.95,3/19/2021,24.99,3/19/2021,27.32,3/19/2021,26.88
3/15/2021,3968.94,3/22/2021,16.4,3/22/2021,18.88,3/22/2021,22.94,3/22/2021,25.47,3/22/2021,25.96
3/16/2021,3962.71,3/23/2021,18.37,3/23/2021,20.3,3/23/2021,23.8,3/23/2021,25.99,3/23/2021,26.01
3/17/2021,3974.12,3/24/2021,19.07,3/24/2021,21.2,3/24/2021,24.4,3/24/2021,26.54,3/24/2021,26.34
3/18/2021,3915.46,3/25/2021,17.16,3/25/2021,19.81,3/25/2021,23.37,3/25/2021,25.71,3/25/2021,25.72
3/19/2021,3913.1,3/26/2021,16.32,3/26/2021,18.86,3/26/2021,22.32,3/26/2021,24.79,3/26/2021,25.16
3/22/2021,3940.59,3/29/2021,18.85,3/29/2021,20.74,3/29/2021,23.2,3/29/2021,25.44,3/29/2021,25.39
3/23/2021,3910.52,3/30/2021,17.28,3/30/2021,19.61,3/30/2021,22.31,3/30/2021,24.63,3/30/2021,24.81
3/24/2021,3889.14,3/31/2021,15.62,3/31/2021,19.4,3/31/2021,22.15,3/31/2021,24.3,3/31/2021,24.64
3/25/2021,3909.52,4/1/2021,12.97,4/1/2021,17.33,4/1/2021,20.97,4/1/2021,23.49,4/1/2021,24.19
3/26/2021,3974.54,4/5/2021,15.65,4/5/2021,17.91,4/5/2021,20.96,4/5/2021,23.39,4/5/2021,24.04
3/29/2021,3971.09,4/6/2021,15.71,4/6/2021,18.12,4/6/2021,21.16,4/6/2021,23.46,4/6/2021,24.08
3/30/2021,3958.55,4/7/2021,14.13,4/7/2021,17.16,4/7/2021,20.66,4/7/2021,23.06,4/7/2021,23.78
